common_name,link,scientific_name,status_in_uk,pairs_text,field_code_1,field_code_2,roughly_how_common
Capercaillie,http://app.bto.org/birdfacts/results/bob3350.htm,Tetrao urogallus,Re-introduced Breeder,1000 - 10000 Adults,CP,CAPER,3162.2776601683804
Black Grouse,http://app.bto.org/birdfacts/results/bob3320.htm,Lyrurus tetrix,Resident Breeder,1000 - 10000 Males,BK,BLAGR,3162.2776601683804
Ptarmigan,http://app.bto.org/birdfacts/results/bob3300.htm,Lagopus muta,Resident Breeder,1000 - 10000 Pairs,PM,PTARM,3162.2776601683804
Red Grouse,http://app.bto.org/birdfacts/results/bob3292.htm,Lagopus lagopus,Resident Breeder,100000 - 500000 Pairs,RG,REDGR,223606.79774997893
Red-legged Partridge,http://app.bto.org/birdfacts/results/bob3580.htm,Alectoris rufa,Introduced Breeder,10000 - 100000 Territories,RL,RELPA,31622.77660168378
Grey Partridge,http://app.bto.org/birdfacts/results/bob3670.htm,Perdix perdix,Resident/Introduced Breeder,10000 - 100000 Territories,P.,GREPA,31622.77660168378
Quail,http://app.bto.org/birdfacts/results/bob3700.htm,Coturnix coturnix,Migrant Breeder,500 - 1000 Males,Q.,QUAIL,707.1067811865473
Pheasant,http://app.bto.org/birdfacts/results/bob3940.htm,Phasianus colchicus,Introduced Breeder,4E06 Birds,PH,PHEAS,4000000.0
Golden Pheasant,http://app.bto.org/birdfacts/results/bob3960.htm,Chrysolophus pictus,Introduced Breeder,100-500 Pairs,GF,GOLPH,223.606797749979
Lady Amherst’s Pheasant,http://app.bto.org/birdfacts/results/bob3970.htm,Chrysolophus amherstiae,Introduced Breeder,1-10 Males,LM,LAAPH,3.1622776601683795
Brent Goose,http://app.bto.org/birdfacts/results/bob1680.htm,Branta bernicla,Winter Visitor,100000 - 500000 Birds,BG,BREGO,223606.79774997893
Red-breasted Goose,http://app.bto.org/birdfacts/results/bob1690.htm,Branta ruficollis,Accidental,10 - 100 Records,EB,REBGO,31.622776601683803
Canada Goose,http://app.bto.org/birdfacts/results/bob1660.htm,Branta canadensis,"Introduced Breeder, Accidental",10000 - 100000 Pairs,CG,CANGO,31622.77660168378
Cackling Goose,http://app.bto.org/birdfacts/results/bob1664.htm,Branta hutchinsii,Accidental,10 - 100 Records,LQ,,31.622776601683803
Barnacle Goose,http://app.bto.org/birdfacts/results/bob1670.htm,Branta leucopsis,"Escaped Breeder, Winter Visitor",100000 - 500000 Birds,BY,BARGO,223606.79774997893
Snow Goose,http://app.bto.org/birdfacts/results/bob1630.htm,Anser caerulescens,Scarce Visitor,10 - 100 Birds,SJ,SNOGO,31.622776601683803
Greylag Goose,http://app.bto.org/birdfacts/results/bob1610.htm,Anser anser,"Introduced/Resident Breeder, Winter Migrant",10000 - 100000 Pairs,GJ,GREGO,31622.77660168378
Taiga Bean Goose,http://app.bto.org/birdfacts/results/bob1571.htm,Anser fabalis,Winter Migrant,100-500 Birds,XF,,223.606797749979
Tundra Bean Goose,http://app.bto.org/birdfacts/results/bob1574.htm,Anser serrirostris,Winter Migrant,100-500 Birds,XR,,223.606797749979
Pink-footed Goose,http://app.bto.org/birdfacts/results/bob1580.htm,Anser brachyrhynchus,Winter Migrant,500000 - 1E06 Birds,PG,PIFGO,707106.7811865465
White-fronted Goose,http://app.bto.org/birdfacts/results/bob1590.htm,Anser albifrons,Winter Migrant,10000 - 100000 Birds,WG,WHFGO,31622.77660168378
Lesser White-fronted Goose,http://app.bto.org/birdfacts/results/bob1600.htm,Anser erythropus,Accidental,100-500 Records,LC,LWFGO,223.606797749979
Mute Swan,http://app.bto.org/birdfacts/results/bob1520.htm,Cygnus olor,Resident/Introduced Breeder,1000 - 10000 Pairs,MS,MUTSW,3162.2776601683804
Bewick's Swan,http://app.bto.org/birdfacts/results/bob1530.htm,Cygnus columbianus,Winter Migrant,1000 - 10000 Birds,BS,BEWSW,3162.2776601683804
Whooper Swan,http://app.bto.org/birdfacts/results/bob1540.htm,Cygnus cygnus,"Scarce Breeder, Winter Migrant",10000 - 100000 Birds,WS,WHOSW,31622.77660168378
Egyptian Goose,http://app.bto.org/birdfacts/results/bob1700.htm,Alopochen aegyptiaca,Introduced Breeder,1000 - 10000 Pairs,EG,EGYGO,3162.2776601683804
Shelduck,http://app.bto.org/birdfacts/results/bob1730.htm,Tadorna tadorna,"Migrant/Resident Breeder, Winter Visitor",10000 - 100000 Pairs,SU,SHELD,31622.77660168378
Ruddy Shelduck,http://app.bto.org/birdfacts/results/bob1710.htm,Tadorna ferruginea,"Escaped, Former Visitor (Last Record 1946)",1-10 Records,UD,RUDSH,3.1622776601683795
Mandarin Duck,http://app.bto.org/birdfacts/results/bob1780.htm,Aix galericulata,Introduced Breeder,1000 - 10000 Pairs,MN,MANDA,3162.2776601683804
Baikal Teal,http://app.bto.org/birdfacts/results/bob1830.htm,Sibirionetta formosa,Accidental,1-10 Records,IK,BAITE,3.1622776601683795
Garganey,http://app.bto.org/birdfacts/results/bob1910.htm,Spatula querquedula,"Migrant Breeder, Passage Visitor",100-500 Pairs,GY,GARGA,223.606797749979
Blue-winged Teal,http://app.bto.org/birdfacts/results/bob1920.htm,Spatula discors,Scarce Visitor,100-500 Records,TB,BLWTE,223.606797749979
Shoveler,http://app.bto.org/birdfacts/results/bob1940.htm,Spatula clypeata,"Migrant Breeder, Passage/Winter Visitor",500 - 1000 Pairs,SV,SHOVE,707.1067811865473
Gadwall,http://app.bto.org/birdfacts/results/bob1820.htm,Mareca strepera,"Migrant/Resident Breeder, Winter Visitor",1000 - 10000 Pairs,GA,GADWA,3162.2776601683804
Falcated Duck,http://app.bto.org/birdfacts/results/bob1810.htm,Mareca falcata,Accidental,1-10 Records,,,3.1622776601683795
Wigeon,http://app.bto.org/birdfacts/results/bob1790.htm,Mareca penelope,"Resident Breeder, Winter Visitor",100000 - 500000 Birds,WN,WIGEO,223606.79774997893
American Wigeon,http://app.bto.org/birdfacts/results/bob1800.htm,Mareca americana,Scarce Visitor,10 - 100 Birds,AW,AMEWI,31.622776601683803
Mallard,http://app.bto.org/birdfacts/results/bob1860.htm,Anas platyrhynchos,"Introduced/Resident Breeder, Winter Visitor",100000 - 500000 Pairs,MA,MALLA,223606.79774997893
American Black Duck,http://app.bto.org/birdfacts/results/bob1870.htm,Anas rubripes,Accidental,10 - 100 Records,BD,BLADU,31.622776601683803
Pintail,http://app.bto.org/birdfacts/results/bob1890.htm,Anas acuta,"Resident/Migrant Breeder, Winter Visitor",10000 - 100000 Birds,PT,PINTA,31622.77660168378
Teal,http://app.bto.org/birdfacts/results/bob1840.htm,Anas crecca,"Resident Breeder, Passage/Winter Visitor",1000 - 10000 Pairs,T.,TEAL.,3162.2776601683804
Green-winged Teal,http://app.bto.org/birdfacts/results/bob1842.htm,Anas carolinensis,Scarce Visitor,10 - 100 Birds,TA,GRWTE,31.622776601683803
Red-crested Pochard,http://app.bto.org/birdfacts/results/bob1960.htm,Netta rufina,"Escaped Breeder, Scarce Visitor",500 - 1000 Birds,RQ,RECPO,707.1067811865473
Canvasback,http://app.bto.org/birdfacts/results/bob1970.htm,Aythya valisineria,Accidental,1-10 Records,VB,,3.1622776601683795
Redhead,http://app.bto.org/birdfacts/results/bob1990.htm,Aythya americana,Accidental,1-10 Records,AZ,,3.1622776601683795
Pochard,http://app.bto.org/birdfacts/results/bob1980.htm,Aythya ferina,"Migrant/Resident Breeder, Passage/Winter Visitor",10000 - 100000 Birds,PO,POCHA,31622.77660168378
Ferruginous Duck,http://app.bto.org/birdfacts/results/bob2020.htm,Aythya nyroca,Accidental,1-10 Birds,FD,FERDU,3.1622776601683795
Ring-necked Duck,http://app.bto.org/birdfacts/results/bob2000.htm,Aythya collaris,Scarce Visitor,10 - 100 Birds,NG,RINDU,31.622776601683803
Tufted Duck,http://app.bto.org/birdfacts/results/bob2030.htm,Aythya fuligula,"Resident Breeder, Passage/Winter Visitor",10000 - 100000 Pairs,TU,TUFDU,31622.77660168378
Scaup,http://app.bto.org/birdfacts/results/bob2040.htm,Aythya marila,"Scarce Breeder, Passage/Winter Visitor",1000 - 10000 Birds,SP,SCAUP,3162.2776601683804
Lesser Scaup,http://app.bto.org/birdfacts/results/bob2050.htm,Aythya affinis,Scarce Visitor,1-10 Birds,AY,,3.1622776601683795
Steller’s Eider,http://app.bto.org/birdfacts/results/bob2090.htm,Polysticta stelleri,Accidental,10 - 100 Records,ES,STEEI,31.622776601683803
King Eider,http://app.bto.org/birdfacts/results/bob2070.htm,Somateria spectabilis,Accidental,100-500 Records,KE,KINEI,223.606797749979
Eider,http://app.bto.org/birdfacts/results/bob2060.htm,Somateria mollissima,"Resident Breeder, Winter Visitor",10000 - 100000 Pairs,E.,EIDER,31622.77660168378
Harlequin Duck,http://app.bto.org/birdfacts/results/bob2110.htm,Histrionicus histrionicus,Accidental,10 - 100 Records,HQ,HARDU,31.622776601683803
Surf Scoter,http://app.bto.org/birdfacts/results/bob2140.htm,Melanitta perspicillata,Scarce Visitor,10 - 100 Birds,FS,SURSC,31.622776601683803
Velvet Scoter,http://app.bto.org/birdfacts/results/bob2151.htm,Melanitta fusca,Passage/Winter Visitor,1000 - 10000 Birds,VS,VELSC,3162.2776601683804
White-winged Scoter,http://app.bto.org/birdfacts/results/bob2152.htm,Melanitta deglandi,Accidental,1-10 Records,,,3.1622776601683795
Common Scoter,http://app.bto.org/birdfacts/results/bob2130.htm,Melanitta nigra,"Resident/Migrant Breeder, Passage/Winter Visitor",100000 - 500000 Birds,CX,COMSC,223606.79774997893
Black Scoter,http://app.bto.org/birdfacts/results/bob2132.htm,Melanitta americana,Accidental,10 - 100 Records,DX,BLASC,31.622776601683803
Long-tailed Duck,http://app.bto.org/birdfacts/results/bob2120.htm,Clangula hyemalis,"Scarce Breeder, Winter Visitor",10000 - 100000 Birds,LN,LOTDU,31622.77660168378
Bufflehead,http://app.bto.org/birdfacts/results/bob2160.htm,Bucephala albeola,Accidental,10 - 100 Records,VH,BUFFL,31.622776601683803
Goldeneye,http://app.bto.org/birdfacts/results/bob2180.htm,Bucephala clangula,"Resident Breeder, Passage/Winter Visitor",100-500 Females,GN,GOLDE,223.606797749979
Barrow’s Goldeneye,http://app.bto.org/birdfacts/results/bob2170.htm,Bucephala islandica,Accidental,1-10 Records,VG,BRWGO,3.1622776601683795
Smew,http://app.bto.org/birdfacts/results/bob2200.htm,Mergellus albellus,Winter Visitor,100-500 Birds,SY,SMEW.,223.606797749979
Hooded Merganser,http://app.bto.org/birdfacts/results/bob2190.htm,Lophodytes cucullatus,Accidental,1-10 Records,,,3.1622776601683795
Goosander,http://app.bto.org/birdfacts/results/bob2230.htm,Mergus merganser,"Resident Breeder, Winter Visitor",1000 - 10000 Pairs,GD,GOOSA,3162.2776601683804
Red-breasted Merganser,http://app.bto.org/birdfacts/results/bob2210.htm,Mergus serrator,"Resident Breeder, Winter Visitor",1000 - 10000 Pairs,RM,REBME,3162.2776601683804
Ruddy Duck,http://app.bto.org/birdfacts/results/bob2250.htm,Oxyura jamaicensis,Introduced Breeder,10 - 100 Birds,RY,RUDDU,31.622776601683803
Common Nighthawk,http://app.bto.org/birdfacts/results/bob7860.htm,Chordeiles minor,Accidental,10 - 100 Records,,COMNI,31.622776601683803
Red-necked Nightjar,http://app.bto.org/birdfacts/results/bob7790.htm,Caprimulgus ruficollis,Not Recorded since 1856, ,,RENNI,
Nightjar,http://app.bto.org/birdfacts/results/bob7780.htm,Caprimulgus europaeus,"Migrant Breeder, Passage Visitor",1000 - 10000 Males,NJ,NIJAR,3162.2776601683804
Egyptian Nightjar,http://app.bto.org/birdfacts/results/bob7810.htm,Caprimulgus aegyptius,Accidental,1-10 Records,,EGYNI,3.1622776601683795
White-throated Needletail,http://app.bto.org/birdfacts/results/bob7920.htm,Hirundapus caudacutus,Accidental,1-10 Records,NI,NETSW,3.1622776601683795
Chimney Swift,http://app.bto.org/birdfacts/results/bob7900.htm,Chaetura pelagica,Accidental,10 - 100 Records,,CHISW,31.622776601683803
Alpine Swift,http://app.bto.org/birdfacts/results/bob7980.htm,Tachymarptis melba,Scarce Visitor,10 - 100 Birds,AI,ALPSW,31.622776601683803
Swift,http://app.bto.org/birdfacts/results/bob7950.htm,Apus apus,"Migrant Breeder, Passage Visitor",10000 - 100000 Pairs,SI,SWIFT,31622.77660168378
Pallid Swift,http://app.bto.org/birdfacts/results/bob7960.htm,Apus pallidus,Accidental,10 - 100 Records,II,PALSW,31.622776601683803
Pacific Swift,http://app.bto.org/birdfacts/results/bob7970.htm,Apus pacificus,Accidental,1-10 Records,,PACSW,3.1622776601683795
Little Swift,http://app.bto.org/birdfacts/results/bob8000.htm,Apus affinis,Accidental,10 - 100 Records,,LITSW,31.622776601683803
White-rumped Swift,http://app.bto.org/birdfacts/results/bob7990.htm,Apus caffer,Accidental,1-10 Records,,,3.1622776601683795
Great Bustard,http://app.bto.org/birdfacts/results/bob4460.htm,Otis tarda,"Re-introduced Breeder, Accidental",10 - 100 Records,US,GREBU,31.622776601683803
Macqueen’s Bustard,http://app.bto.org/birdfacts/results/bob4442.htm,Chlamydotis macqueenii,Accidental,1-10 Records,,,3.1622776601683795
Little Bustard,http://app.bto.org/birdfacts/results/bob4420.htm,Tetrax tetrax,Accidental,10 - 100 Records,,LITBS,31.622776601683803
Great Spotted Cuckoo,http://app.bto.org/birdfacts/results/bob7160.htm,Clamator glandarius,Accidental,10 - 100 Records,UK,GRSCU,31.622776601683803
Yellow-billed Cuckoo,http://app.bto.org/birdfacts/results/bob7280.htm,Coccyzus americanus,Accidental,10 - 100 Records,,YEBCU,31.622776601683803
Black-billed Cuckoo,http://app.bto.org/birdfacts/results/bob7270.htm,Coccyzus erythropthalmus,Accidental,10 - 100 Records,,BLBCU,31.622776601683803
Cuckoo,http://app.bto.org/birdfacts/results/bob7240.htm,Cuculus canorus,"Migrant Breeder, Passage Visitor",10000 - 100000 Pairs,CK,CUCKO,31622.77660168378
Pallas’s Sandgrouse,http://app.bto.org/birdfacts/results/bob6630.htm,Syrrhaptes paradoxus,"Accidental, Has Bred",1-10 Records,,PALSA,3.1622776601683795
Rock Dove,http://app.bto.org/birdfacts/results/bob6650.htm,Columba livia,Resident Breeder,500000 - 1E06 Pairs,DV,ROCDO,707106.7811865465
Stock Dove,http://app.bto.org/birdfacts/results/bob6680.htm,Columba oenas,"Resident Breeder, Passage/Winter Visitor",100000 - 500000 Territories,SD,STODO,223606.79774997893
Woodpigeon,http://app.bto.org/birdfacts/results/bob6700.htm,Columba palumbus,"Resident Breeder, Winter Visitor",5.3E06 Pairs,WP,WOODP,5300000.0
Turtle Dove,http://app.bto.org/birdfacts/results/bob6870.htm,Streptopelia turtur,"Migrant Breeder, Passage Visitor",10000 - 100000 Territories,TD,TURDO,31622.77660168378
Oriental Turtle Dove,http://app.bto.org/birdfacts/results/bob6890.htm,Streptopelia orientalis,Accidental,10 - 100 Records,,RUTDO,31.622776601683803
Collared Dove,http://app.bto.org/birdfacts/results/bob6840.htm,Streptopelia decaocto,Resident Breeder,500000 - 1E06 Pairs,CD,COLDO,707106.7811865465
Mourning Dove,http://app.bto.org/birdfacts/results/bob6950.htm,Zenaida macroura,Accidental,1-10 Records,,,3.1622776601683795
Water Rail,http://app.bto.org/birdfacts/results/bob4070.htm,Rallus aquaticus,"Resident Breeder, Passage/Winter Visitor",1000 - 10000 Territories,WA,WATRA,3162.2776601683804
Corncrake,http://app.bto.org/birdfacts/results/bob4210.htm,Crex crex,"Migrant Breeder, Passage Visitor",1000 - 10000 Males,CE,CORNC,3162.2776601683804
Little Crake,http://app.bto.org/birdfacts/results/bob4100.htm,Porzana parva,Accidental,10 - 100 Records,JC,LITCR,31.622776601683803
Baillon’s Crake,http://app.bto.org/birdfacts/results/bob4110.htm,Porzana pusilla,"Occasional Breeder, Accidental",10 - 100 Records,VC,BAICR,31.622776601683803
Spotted Crake,http://app.bto.org/birdfacts/results/bob4080.htm,Porzana porzana,"Scarce Breeder, Passage Visitor",10 - 100 Males,AK,SPOCR,31.622776601683803
Sora,http://app.bto.org/birdfacts/results/bob4090.htm,Porzana carolina,Accidental,10 - 100 Records,JR,SORA.,31.622776601683803
Western Swamphen,http://app.bto.org/birdfacts/results/bob4270.htm,Porphyrio porphyrio,Accidental,1-10 Records,,PURSW,3.1622776601683795
Allen’s Gallinule,http://app.bto.org/birdfacts/results/bob4250.htm,Porphyrio alleni,Accidental,1-10 Records,,ALLGA,3.1622776601683795
American Purple Gallinule,http://app.bto.org/birdfacts/results/bob4260.htm,Porphyrio martinica,Accidental,1-10 Records,,AMPGA,3.1622776601683795
Moorhen,http://app.bto.org/birdfacts/results/bob4240.htm,Gallinula chloropus,"Resident Breeder, Winter Visitor",100000 - 500000 Territories,MH,MOORH,223606.79774997893
Coot,http://app.bto.org/birdfacts/results/bob4290.htm,Fulica atra,"Resident Breeder, Winter Visitor",10000 - 100000 Pairs,CO,COOT.,31622.77660168378
American Coot,http://app.bto.org/birdfacts/results/bob4300.htm,Fulica americana,Accidental,1-10 Records,AO,AMECO,3.1622776601683795
Sandhill Crane,http://app.bto.org/birdfacts/results/bob4360.htm,Antigone canadensis,Accidental,1-10 Records,,SANCR,3.1622776601683795
Crane,http://app.bto.org/birdfacts/results/bob4330.htm,Grus grus,"Resident/Re-introduced Breeder, Passage Visitor",10 - 100 Pairs,AN,CRANE,31.622776601683803
Little Grebe,http://app.bto.org/birdfacts/results/bob70.htm,Tachybaptus ruficollis,"Migrant/Resident Breeder, Winter Visitor",1000 - 10000 Pairs,LG,LITGR,3162.2776601683804
Pied-billed Grebe,http://app.bto.org/birdfacts/results/bob60.htm,Podilymbus podiceps,Accidental,10 - 100 Records,PJ,PIBGR,31.622776601683803
Red-necked Grebe,http://app.bto.org/birdfacts/results/bob100.htm,Podiceps grisegena,"Scarce Breeder, Winter Visitor",10 - 100 Birds,RX,RENGR,31.622776601683803
Great Crested Grebe,http://app.bto.org/birdfacts/results/bob90.htm,Podiceps cristatus,"Resident Breeder, Winter Visitor",1000 - 10000 Pairs,GG,GRCGR,3162.2776601683804
Slavonian Grebe,http://app.bto.org/birdfacts/results/bob110.htm,Podiceps auritus,"Resident Breeder, Winter Visitor",10 - 100 Pairs,SZ,SLAGR,31.622776601683803
Black-necked Grebe,http://app.bto.org/birdfacts/results/bob120.htm,Podiceps nigricollis,"Migrant/Resident Breeder, Passage/Winter Visitor",10 - 100 Pairs,BN,BLNGR,31.622776601683803
Stone-curlew,http://app.bto.org/birdfacts/results/bob4590.htm,Burhinus oedicnemus,Migrant Breeder,100-500 Pairs,TN,STOCU,223.606797749979
Oystercatcher,http://app.bto.org/birdfacts/results/bob4500.htm,Haematopus ostralegus,"Migrant/Resident Breeder, Passage/Winter Visitor",100000 - 500000 Pairs,OC,OYSTE,223606.79774997893
Black-winged Stilt,http://app.bto.org/birdfacts/results/bob4550.htm,Himantopus himantopus,"Scarce Visitor, Has Bred",100-500 Records,IT,BLWST,223.606797749979
Avocet,http://app.bto.org/birdfacts/results/bob4560.htm,Recurvirostra avosetta,"Migrant/Resident Breeder, Passage/Winter Visitor",1000 - 10000 Pairs,AV,AVOCE,3162.2776601683804
Lapwing,http://app.bto.org/birdfacts/results/bob4930.htm,Vanellus vanellus,"Migrant/Resident Breeder, Passage/Winter Visitor",100000 - 500000 Pairs,L.,LAPWI,223606.79774997893
Sociable Lapwing,http://app.bto.org/birdfacts/results/bob4910.htm,Vanellus gregarius,Accidental,10 - 100 Records,IP,SOCPL,31.622776601683803
White-tailed Lapwing,http://app.bto.org/birdfacts/results/bob4920.htm,Vanellus leucurus,Accidental,1-10 Records,,WHTPL,3.1622776601683795
Golden Plover,http://app.bto.org/birdfacts/results/bob4850.htm,Pluvialis apricaria,"Migrant/Resident Breeder, Passage/Winter Visitor",10000 - 100000 Pairs,GP,GOLPL,31622.77660168378
Pacific Golden Plover,http://app.bto.org/birdfacts/results/bob4842.htm,Pluvialis fulva,Accidental,10 - 100 Records,IF,PAGPL,31.622776601683803
American Golden Plover,http://app.bto.org/birdfacts/results/bob4841.htm,Pluvialis dominica,Scarce Visitor,10 - 100 Birds,ID,AMGPL,31.622776601683803
Grey Plover,http://app.bto.org/birdfacts/results/bob4860.htm,Pluvialis squatarola,Passage/Winter Visitor,10000 - 100000 Birds,GV,GREPL,31622.77660168378
Ringed Plover,http://app.bto.org/birdfacts/results/bob4700.htm,Charadrius hiaticula,"Migrant/Resident Breeder, Passage/Winter Visitor",1000 - 10000 Pairs,RP,RINPL,3162.2776601683804
Semipalmated Plover,http://app.bto.org/birdfacts/results/bob4710.htm,Charadrius semipalmatus,Accidental,1-10 Records,TV,SEMPL,3.1622776601683795
Little Ringed Plover,http://app.bto.org/birdfacts/results/bob4690.htm,Charadrius dubius,"Migrant Breeder, Passage Visitor",1000 - 10000 Pairs,LP,LIRPL,3162.2776601683804
Killdeer,http://app.bto.org/birdfacts/results/bob4740.htm,Charadrius vociferus,Accidental,10 - 100 Records,KL,KILLD,31.622776601683803
Kentish Plover,http://app.bto.org/birdfacts/results/bob4770.htm,Charadrius alexandrinus,"Former Breeder, Scarce Visitor",10 - 100 Birds,KP,KENPL,31.622776601683803
Lesser Sand Plover,http://app.bto.org/birdfacts/results/bob4780.htm,Charadrius mongolus,Accidental,1-10 Records,DQ,,3.1622776601683795
Greater Sand Plover,http://app.bto.org/birdfacts/results/bob4790.htm,Charadrius leschenaultii,Accidental,10 - 100 Records,DP,GRSPL,31.622776601683803
Caspian Plover,http://app.bto.org/birdfacts/results/bob4800.htm,Charadrius asiaticus,Accidental,1-10 Records,,CASPL,3.1622776601683795
Dotterel,http://app.bto.org/birdfacts/results/bob4820.htm,Charadrius morinellus,"Migrant Breeder, Passage Visitor",500 - 1000 Males,DO,DOTTE,707.1067811865473
Upland Sandpiper,http://app.bto.org/birdfacts/results/bob5440.htm,Bartramia longicauda,Accidental,10 - 100 Records,UP,UPLSA,31.622776601683803
Whimbrel,http://app.bto.org/birdfacts/results/bob5380.htm,Numenius phaeopus,"Migrant Breeder, Passage Visitor",500 - 1000 Pairs,WM,WHIMB,707.1067811865473
Little Curlew,http://app.bto.org/birdfacts/results/bob5360.htm,Numenius minutus,Accidental,1-10 Records,,LITWH,3.1622776601683795
Eskimo Curlew,http://app.bto.org/birdfacts/results/bob5370.htm,Numenius borealis,"Extinct (1963), Last Record 1887", ,,ESKCU,
Curlew,http://app.bto.org/birdfacts/results/bob5410.htm,Numenius arquata,"Migrant/Resident Breeder, Passage/Winter Visitor",10000 - 100000 Pairs,CU,CURLE,31622.77660168378
Bar-tailed Godwit,http://app.bto.org/birdfacts/results/bob5340.htm,Limosa lapponica,Passage/Winter Visitor,10000 - 100000 Birds,BA,BATGO,31622.77660168378
Black-tailed Godwit,http://app.bto.org/birdfacts/results/bob5320.htm,Limosa limosa,"Migrant Breeder, Passage/Winter Visitor",100-500 Pairs,BW,BLTGO,223.606797749979
Hudsonian Godwit,http://app.bto.org/birdfacts/results/bob5330.htm,Limosa haemastica,Accidental,1-10 Records,HU,HUDGO,3.1622776601683795
Turnstone,http://app.bto.org/birdfacts/results/bob5610.htm,Arenaria interpres,"Scarce Breeder, Passage/Winter Visitor",10000 - 100000 Birds,TT,TURNS,31622.77660168378
Great Knot,http://app.bto.org/birdfacts/results/bob4950.htm,Calidris tenuirostris,Accidental,1-10 Records,KO,,3.1622776601683795
Knot,http://app.bto.org/birdfacts/results/bob4960.htm,Calidris canutus,Passage/Winter Visitor,100000 - 500000 Birds,KN,KNOT.,223606.79774997893
Ruff,http://app.bto.org/birdfacts/results/bob5170.htm,Calidris pugnax,"Scarce Breeder, Passage/Winter Visitor",500 - 1000 Birds,RU,RUFF.,707.1067811865473
Broad-billed Sandpiper,http://app.bto.org/birdfacts/results/bob5140.htm,Calidris falcinellus,Accidental,100-500 Records,OA,BRBSA,223.606797749979
Sharp-tailed Sandpiper,http://app.bto.org/birdfacts/results/bob5080.htm,Calidris acuminata,Accidental,10 - 100 Records,VV,SHTSA,31.622776601683803
Stilt Sandpiper,http://app.bto.org/birdfacts/results/bob5150.htm,Calidris himantopus,Accidental,10 - 100 Records,MI,STISA,31.622776601683803
Curlew Sandpiper,http://app.bto.org/birdfacts/results/bob5090.htm,Calidris ferruginea,Passage Visitor,500 - 1000 Birds,CV,CURSA,707.1067811865473
