common_name,link,scientific_name,status_in_uk,pairs_text,field_code_1,field_code_2,roughly_how_common
Temminck’s Stint,http://app.bto.org/birdfacts/results/bob5020.htm,Calidris temminckii,"Scarce Breeder, Passage Visitor",100-500 Birds,TK,TEMST,223.606797749979
Long-toed Stint,http://app.bto.org/birdfacts/results/bob5030.htm,Calidris subminuta,Accidental,1-10 Records,,LOTST,3.1622776601683795
Red-necked Stint,http://app.bto.org/birdfacts/results/bob5000.htm,Calidris ruficollis,Accidental,1-10 Records,,,3.1622776601683795
Sanderling,http://app.bto.org/birdfacts/results/bob4970.htm,Calidris alba,Passage/Winter Visitor,10000 - 100000 Birds,SS,SANDE,31622.77660168378
Dunlin,http://app.bto.org/birdfacts/results/bob5120.htm,Calidris alpina,"Migrant Breeder, Passage/Winter Visitor",1000 - 10000 Pairs,DN,DUNLI,3162.2776601683804
Purple Sandpiper,http://app.bto.org/birdfacts/results/bob5100.htm,Calidris maritima,"Scarce Breeder, Passage/Winter Visitor",1000 - 10000 Birds,PS,PURSA,3162.2776601683804
Baird’s Sandpiper,http://app.bto.org/birdfacts/results/bob5060.htm,Calidris bairdii,Accidental,100-500 Records,BP,BAISA,223.606797749979
Little Stint,http://app.bto.org/birdfacts/results/bob5010.htm,Calidris minuta,Passage Visitor,500 - 1000 Birds,LX,LITST,707.1067811865473
Least Sandpiper,http://app.bto.org/birdfacts/results/bob5040.htm,Calidris minutilla,Accidental,10 - 100 Records,EP,LEASA,31.622776601683803
White-rumped Sandpiper,http://app.bto.org/birdfacts/results/bob5050.htm,Calidris fuscicollis,Scarce Visitor,10 - 100 Birds,WU,WHRSA,31.622776601683803
Buff-breasted Sandpiper,http://app.bto.org/birdfacts/results/bob5160.htm,Calidris subruficollis,Scarce Visitor,10 - 100 Birds,BQ,BUBSA,31.622776601683803
Pectoral Sandpiper,http://app.bto.org/birdfacts/results/bob5070.htm,Calidris melanotos,"Scarce Visitor, Has probably bred",100-500 Birds,PP,PECSA,223.606797749979
Semipalmated Sandpiper,http://app.bto.org/birdfacts/results/bob4980.htm,Calidris pusilla,Scarce Visitor,100-500 Records,PZ,SEMSA,223.606797749979
Western Sandpiper,http://app.bto.org/birdfacts/results/bob4990.htm,Calidris mauri,Accidental,1-10 Records,ER,WESSA,3.1622776601683795
Long-billed Dowitcher,http://app.bto.org/birdfacts/results/bob5270.htm,Limnodromus scolopaceus,Accidental,100-500 Records,LD,LOBDO,223.606797749979
Short-billed Dowitcher,http://app.bto.org/birdfacts/results/bob5260.htm,Limnodromus griseus,Accidental,1-10 Records,,SHBDO,3.1622776601683795
Woodcock,http://app.bto.org/birdfacts/results/bob5290.htm,Scolopax rusticola,"Migrant/Resident Breeder, Passage/Winter Visitor",10000 - 100000 Males,WK,WOODC,31622.77660168378
Jack Snipe,http://app.bto.org/birdfacts/results/bob5180.htm,Lymnocryptes minimus,Passage/Winter Visitor,100000 - 500000 Birds,JS,JACSN,223606.79774997893
Great Snipe,http://app.bto.org/birdfacts/results/bob5200.htm,Gallinago media,Accidental,100-500 Records,DS,GRESN,223.606797749979
Snipe,http://app.bto.org/birdfacts/results/bob5190.htm,Gallinago gallinago,"Migrant/Resident Breeder, Passage/Winter Visitor",10000 - 100000 Pairs,SN,SNIPE,31622.77660168378
Wilson's Snipe,http://app.bto.org/birdfacts/results/bob5192.htm,Gallinago delicata,Accidental,1-10 Records,,,3.1622776601683795
Terek Sandpiper,http://app.bto.org/birdfacts/results/bob5550.htm,Xenus cinereus,Accidental,10 - 100 Records,TR,TERSA,31.622776601683803
Wilson’s Phalarope,http://app.bto.org/birdfacts/results/bob5630.htm,Phalaropus tricolor,Accidental,100-500 Records,WF,WILPH,223.606797749979
Red-necked Phalarope,http://app.bto.org/birdfacts/results/bob5640.htm,Phalaropus lobatus,"Migrant Breeder, Passage Visitor",10 - 100 Males,NK,RENPH,31.622776601683803
Grey Phalarope,http://app.bto.org/birdfacts/results/bob5650.htm,Phalaropus fulicarius,Passage Visitor,100-500 Birds,PL,GREPH,223.606797749979
Common Sandpiper,http://app.bto.org/birdfacts/results/bob5560.htm,Actitis hypoleucos,"Migrant Breeder, Passage/Winter Visitor",10000 - 100000 Pairs,CS,COMSA,31622.77660168378
Spotted Sandpiper,http://app.bto.org/birdfacts/results/bob5570.htm,Actitis macularius,"Accidental, Has Bred",100-500 Records,PQ,SPOSA,223.606797749979
Green Sandpiper,http://app.bto.org/birdfacts/results/bob5530.htm,Tringa ochropus,"Scarce Breeder, Passage/Winter Visitor", ,GE,GRESA,
Solitary Sandpiper,http://app.bto.org/birdfacts/results/bob5520.htm,Tringa solitaria,Accidental,10 - 100 Records,I.,SOLSA,31.622776601683803
Grey-tailed Tattler,http://app.bto.org/birdfacts/results/bob5580.htm,Tringa brevipes,Accidental,1-10 Records,YT,,3.1622776601683795
Lesser Yellowlegs,http://app.bto.org/birdfacts/results/bob5510.htm,Tringa flavipes,Accidental,100-500 Records,LY,LESYE,223.606797749979
Redshank,http://app.bto.org/birdfacts/results/bob5460.htm,Tringa totanus,"Migrant/Resident Breeder, Passage/Winter Visitor",10000 - 100000 Pairs,RK,REDSH,31622.77660168378
Marsh Sandpiper,http://app.bto.org/birdfacts/results/bob5470.htm,Tringa stagnatilis,Accidental,100-500 Records,MD,MARSA,223.606797749979
Wood Sandpiper,http://app.bto.org/birdfacts/results/bob5540.htm,Tringa glareola,"Scarce Breeder, Passage Visitor", ,OD,WOOSA,
Spotted Redshank,http://app.bto.org/birdfacts/results/bob5450.htm,Tringa erythropus,Passage/Winter Visitor,100-500 Birds,DR,SPORE,223.606797749979
Greenshank,http://app.bto.org/birdfacts/results/bob5480.htm,Tringa nebularia,"Migrant/Resident Breeder, Passage/Winter Visitor",1000 - 10000 Pairs,GK,GRESH,3162.2776601683804
Greater Yellowlegs,http://app.bto.org/birdfacts/results/bob5500.htm,Tringa melanoleuca,Accidental,10 - 100 Records,LZ,GREYE,31.622776601683803
Cream-coloured Courser,http://app.bto.org/birdfacts/results/bob4640.htm,Cursorius cursor,Accidental,1-10 Records,,CRCCO,3.1622776601683795
Collared Pratincole,http://app.bto.org/birdfacts/results/bob4650.htm,Glareola pratincola,Scarce Visitor,10 - 100 Records,KM,COLPR,31.622776601683803
Oriental Pratincole,http://app.bto.org/birdfacts/results/bob4660.htm,Glareola maldivarum,Accidental,1-10 Records,GM,,3.1622776601683795
Black-winged Pratincole,http://app.bto.org/birdfacts/results/bob4670.htm,Glareola nordmanni,Accidental,10 - 100 Records,KW,BLWPR,31.622776601683803
Kittiwake,http://app.bto.org/birdfacts/results/bob6020.htm,Rissa tridactyla,"Migrant/Resident Breeder, Passage/Winter Visitor",100000 - 500000 Pairs,KI,KITTI,223606.79774997893
Ivory Gull,http://app.bto.org/birdfacts/results/bob6040.htm,Pagophila eburnea,Accidental,10 - 100 Records,IV,IVOGU,31.622776601683803
Sabine’s Gull,http://app.bto.org/birdfacts/results/bob5790.htm,Xema sabini,Passage Visitor,100-500 Birds,AB,SABGU,223.606797749979
Slender-billed Gull,http://app.bto.org/birdfacts/results/bob5850.htm,Chroicocephalus genei,Accidental,10 - 100 Records,EI,SLEGU,31.622776601683803
Bonaparte’s Gull,http://app.bto.org/birdfacts/results/bob5810.htm,Chroicocephalus philadelphia,Accidental,100-500 Records,ON,BONGU,223.606797749979
Black-headed Gull,http://app.bto.org/birdfacts/results/bob5820.htm,Chroicocephalus ridibundus,"Migrant/Resident Breeder, Passage/Winter Visitor",100000 - 500000 Pairs,BH,BLHGU,223606.79774997893
Little Gull,http://app.bto.org/birdfacts/results/bob5780.htm,Hydrocoloeus minutus,"Scarce Breeder, Passage/Winter Visitor", ,LU,LITGU,
Ross’s Gull,http://app.bto.org/birdfacts/results/bob6010.htm,Rhodostethia rosea,Accidental,10 - 100 Records,QG,ROSGU,31.622776601683803
Laughing Gull,http://app.bto.org/birdfacts/results/bob5760.htm,Leucophaeus atricilla,Accidental,100-500 Records,LF,LAUGU,223.606797749979
Franklin’s Gull,http://app.bto.org/birdfacts/results/bob5770.htm,Leucophaeus pipixcan,Accidental,10 - 100 Records,FG,FRAGU,31.622776601683803
Audouin's Gull,http://app.bto.org/birdfacts/results/bob5880.htm,Ichthyaetus audouinii,Accidental,1-10 Records,,,3.1622776601683795
Mediterranean Gull,http://app.bto.org/birdfacts/results/bob5750.htm,Ichthyaetus melanocephalus,"Migrant/Resident Breeder, Passage/Winter Visitor",500 - 1000 Pairs,MU,MEDGU,707.1067811865473
Great Black-headed Gull,http://app.bto.org/birdfacts/results/bob5730.htm,Ichthyaetus ichthyaetus,Not Recorded since 1859, ,,GBHGU,
Common Gull,http://app.bto.org/birdfacts/results/bob5900.htm,Larus canus,"Migrant/Resident Breeder, Passage/Winter Visitor",10000 - 100000 Pairs,CM,COMGU,31622.77660168378
Ring-billed Gull,http://app.bto.org/birdfacts/results/bob5890.htm,Larus delawarensis,Scarce Visitor,10 - 100 Birds,IN,RIBGU,31.622776601683803
Great Black-backed Gull,http://app.bto.org/birdfacts/results/bob6000.htm,Larus marinus,"Resident Breeder, Winter Visitor",10000 - 100000 Pairs,GB,GBBGU,31622.77660168378
Glaucous-winged Gull,http://app.bto.org/birdfacts/results/bob5960.htm,Larus glaucescens,Accidental,1-10 Records,,GLWGU,3.1622776601683795
Glaucous Gull,http://app.bto.org/birdfacts/results/bob5990.htm,Larus hyperboreus,Winter Visitor,100-500 Birds,GZ,GLAGU,223.606797749979
Iceland Gull,http://app.bto.org/birdfacts/results/bob5980.htm,Larus glaucoides,Winter Visitor,100-500 Birds,IG,ICEGU,223.606797749979
Herring Gull,http://app.bto.org/birdfacts/results/bob5920.htm,Larus argentatus,"Resident Breeder, Passage/Winter Visitor",100000 - 500000 Pairs,HG,HERGU,223606.79774997893
American Herring Gull,http://app.bto.org/birdfacts/results/bob26632.htm,Larus smithsonianus,Accidental,10 - 100 Records,,,31.622776601683803
Caspian Gull,http://app.bto.org/birdfacts/results/bob5927.htm,Larus cachinnans,Scarce Visitor,100-500 Birds,YC,CASGU,223.606797749979
Yellow-legged Gull,http://app.bto.org/birdfacts/results/bob5926.htm,Larus michahellis,"Scarce Breeder, Passage/Winter Visitor",500 - 1000 Birds,YG,YELGU,707.1067811865473
Slaty-backed Gull,http://app.bto.org/birdfacts/results/bob5950.htm,Larus schistisagus,Accidental,1-10 Records,,,3.1622776601683795
Lesser Black-backed Gull,http://app.bto.org/birdfacts/results/bob5910.htm,Larus fuscus,"Migrant/Resident Breeder, Passage Visitor",100000 - 500000 Pairs,LB,LBBGU,223606.79774997893
Gull-billed Tern,http://app.bto.org/birdfacts/results/bob6050.htm,Gelochelidon nilotica,"Scarce Visitor, Has Bred",100-500 Records,TG,GUBTE,223.606797749979
Caspian Tern,http://app.bto.org/birdfacts/results/bob6060.htm,Hydroprogne caspia,Accidental,100-500 Records,CJ,CASTE,223.606797749979
Royal Tern,http://app.bto.org/birdfacts/results/bob6070.htm,Thalasseus maximus,Accidental,1-10 Records,QT,ROYTE,3.1622776601683795
Lesser Crested Tern,http://app.bto.org/birdfacts/results/bob6090.htm,Thalasseus bengalensis,Accidental,1-10 Records,TF,LECTE,3.1622776601683795
Sandwich Tern,http://app.bto.org/birdfacts/results/bob6110.htm,Thalasseus sandvicensis,"Migrant Breeder, Passage Visitor",10000 - 100000 Pairs,TE,SANTE,31622.77660168378
Cabot's Tern,http://app.bto.org/birdfacts/results/bob6111.htm,Thalasseus acuflavidus,Accidental,1-10 Records,,,3.1622776601683795
Elegant Tern,http://app.bto.org/birdfacts/results/bob6120.htm,Thalasseus elegans,Accidental,1-10 Records,,ELETE,3.1622776601683795
Little Tern,http://app.bto.org/birdfacts/results/bob6240.htm,Sternula albifrons,"Migrant Breeder, Passage Visitor",1000 - 10000 Pairs,AF,LITTE,3162.2776601683804
Least Tern,http://app.bto.org/birdfacts/results/bob6242.htm,Sternula antillarum,Accidental,1-10 Records,,,3.1622776601683795
Aleutian Tern,http://app.bto.org/birdfacts/results/bob6170.htm,Onychoprion aleuticus,Accidental,1-10 Records,,ALETE,3.1622776601683795
Bridled Tern,http://app.bto.org/birdfacts/results/bob6220.htm,Onychoprion anaethetus,Accidental,10 - 100 Records,,BRITE,31.622776601683803
Sooty Tern,http://app.bto.org/birdfacts/results/bob6230.htm,Onychoprion fuscatus,Accidental,10 - 100 Records,,SOOTE,31.622776601683803
Roseate Tern,http://app.bto.org/birdfacts/results/bob6140.htm,Sterna dougallii,"Migrant Breeder, Passage Visitor",10 - 100 Pairs,RS,ROSTE,31.622776601683803
Common Tern,http://app.bto.org/birdfacts/results/bob6150.htm,Sterna hirundo,"Migrant Breeder, Passage Visitor",10000 - 100000 Pairs,CN,COMTE,31622.77660168378
Arctic Tern,http://app.bto.org/birdfacts/results/bob6160.htm,Sterna paradisaea,"Migrant Breeder, Passage Visitor",10000 - 100000 Pairs,AE,ARCTE,31622.77660168378
Forster’s Tern,http://app.bto.org/birdfacts/results/bob6180.htm,Sterna forsteri,Accidental,10 - 100 Records,FO,FORTE,31.622776601683803
Whiskered Tern,http://app.bto.org/birdfacts/results/bob6260.htm,Chlidonias hybrida,Accidental,100-500 Records,WD,WHKTE,223.606797749979
White-winged Black Tern,http://app.bto.org/birdfacts/results/bob6280.htm,Chlidonias leucopterus,Scarce Visitor,10 - 100 Birds,WJ,WWBTE,31.622776601683803
Black Tern,http://app.bto.org/birdfacts/results/bob6270.htm,Chlidonias niger,"Former Breeder, Passage Visitor", ,BJ,BLATE,
Great Skua,http://app.bto.org/birdfacts/results/bob5690.htm,Stercorarius skua,"Migrant Breeder, Passage Visitor",1000 - 10000 Pairs,NX,GRESK,3162.2776601683804
Pomarine Skua,http://app.bto.org/birdfacts/results/bob5660.htm,Stercorarius pomarinus,Passage Visitor, ,PK,POMSK,
Arctic Skua,http://app.bto.org/birdfacts/results/bob5670.htm,Stercorarius parasiticus,"Migrant Breeder, Passage Visitor",1000 - 10000 Pairs,AC,ARCSK,3162.2776601683804
Long-tailed Skua,http://app.bto.org/birdfacts/results/bob5680.htm,Stercorarius longicaudus,"Passage Visitor, Has Bred", ,OG,LOTSK,
Little Auk,http://app.bto.org/birdfacts/results/bob6470.htm,Alle alle,Passage/Winter Visitor, ,LK,LITAU,
Brünnich’s Guillemot,http://app.bto.org/birdfacts/results/bob6350.htm,Uria lomvia,Accidental,10 - 100 Records,TZ,BRUGU,31.622776601683803
Guillemot,http://app.bto.org/birdfacts/results/bob6340.htm,Uria aalge,"Migrant/Resident Breeder, Winter Visitor",500000 - 1E06 Pairs,GU,GUILL,707106.7811865465
Razorbill,http://app.bto.org/birdfacts/results/bob6360.htm,Alca torda,"Migrant/Resident Breeder, Winter Visitor",100000 - 500000 Pairs,RA,RAZOR,223606.79774997893
Great Auk,http://app.bto.org/birdfacts/results/bob6370.htm,Pinguinus impennis,"Extinct (1844) Former Breeder, Last recorded 1840", ,,,
Black Guillemot,http://app.bto.org/birdfacts/results/bob6380.htm,Cepphus grylle,Resident Breeder,10000 - 100000 Pairs,TY,BLAGU,31622.77660168378
Long-billed Murrelet,http://app.bto.org/birdfacts/results/bob6412.htm,Brachyramphus perdix,Accidental,1-10 Records,,,3.1622776601683795
Ancient Murrelet,http://app.bto.org/birdfacts/results/bob6450.htm,Synthliboramphus antiquus,Accidental,1-10 Records,,,3.1622776601683795
Puffin,http://app.bto.org/birdfacts/results/bob6540.htm,Fratercula arctica,"Migrant/Resident Breeder, Passage/Winter Visitor",500000 - 1E06 Pairs,PU,PUFFI,707106.7811865465
Tufted Puffin,http://app.bto.org/birdfacts/results/bob35650.htm,Fratercula cirrhata,Accidental,1-10 Records,,,3.1622776601683795
Red-billed Tropicbird,http://app.bto.org/birdfacts/results/bob640.htm,Phaethon aethereus,Accidental,1-10 Records,,,3.1622776601683795
Ascension Frigatebird,http://app.bto.org/birdfacts/results/bob99030.htm,Fregata aquila,Accidental,1-10 Records,,,3.1622776601683795
Red-throated Diver,http://app.bto.org/birdfacts/results/bob20.htm,Gavia stellata,"Migrant/Resident Breeder, Passage/Winter Visitor",1000 - 10000 Pairs,RH,RETDI,3162.2776601683804
Black-throated Diver,http://app.bto.org/birdfacts/results/bob30.htm,Gavia arctica,"Migrant/Resident Breeder, Winter Visitor",100-500 Pairs,BV,BLTDI,223.606797749979
Pacific Diver,http://app.bto.org/birdfacts/results/bob32.htm,Gavia pacifica,Accidental,1-10 Records,KD,,3.1622776601683795
Great Northern Diver,http://app.bto.org/birdfacts/results/bob40.htm,Gavia immer,"Scarce Breeder, Winter Visitor",1000 - 10000 Birds,ND,GRNDI,3162.2776601683804
White-billed Diver,http://app.bto.org/birdfacts/results/bob50.htm,Gavia adamsii,Scarce Visitor,10 - 100 Birds,WV,WHBDI,31.622776601683803
Wilson’s Storm Petrel,http://app.bto.org/birdfacts/results/bob500.htm,Oceanites oceanicus,Scarce Visitor,10 - 100 Birds,,WILPE,31.622776601683803
White-faced Storm Petrel,http://app.bto.org/birdfacts/results/bob510.htm,Pelagodroma marina,Not Recorded since 1897, ,,WHFPE,
Black-browed Albatross,http://app.bto.org/birdfacts/results/bob140.htm,Thalassarche melanophris,Accidental,10 - 100 Records,AA,BLBAL,31.622776601683803
Atlantic Yellow-nosed Albatross,http://app.bto.org/birdfacts/results/bob151.htm,Thalassarche chlororhynchos,Accidental,1-10 Records,,YENAL,3.1622776601683795
Storm Petrel,http://app.bto.org/birdfacts/results/bob520.htm,Hydrobates pelagicus,Migrant Breeder,10000 - 100000 Nests,TM,STOPE,31622.77660168378
Swinhoe’s Storm Petrel,http://app.bto.org/birdfacts/results/bob560.htm,Oceanodroma monorhis,Accidental,1-10 Records,,SWSPE,3.1622776601683795
Leach’s Petrel,http://app.bto.org/birdfacts/results/bob550.htm,Oceanodroma leucorhoa,"Migrant Breeder, Passage Visitor",10000 - 100000 Pairs,TL,LEAPE,31622.77660168378
Fulmar,http://app.bto.org/birdfacts/results/bob220.htm,Fulmarus glacialis,"Migrant/Resident Breeder, Passage Visitor",500000 - 1E06 Pairs,F.,FULMA,707106.7811865465
Black-capped Petrel,http://app.bto.org/birdfacts/results/bob290.htm,Pterodroma hasitata,Accidental,1-10 Records,,BLCPE,3.1622776601683795
Scopoli's Shearwater,http://app.bto.org/birdfacts/results/bob361.htm,Calonectris diomedea,Accidental,1-10 Records,,,3.1622776601683795
Cory’s Shearwater,http://app.bto.org/birdfacts/results/bob360.htm,Calonectris borealis,Scarce Migrant,500 - 1000 Birds,CQ,CORSH,707.1067811865473
Sooty Shearwater,http://app.bto.org/birdfacts/results/bob430.htm,Ardenna grisea,Passage Visitor, ,OT,SOOSH,
Great Shearwater,http://app.bto.org/birdfacts/results/bob400.htm,Ardenna gravis,Scarce Migrant, ,GQ,GRTSH,
Manx Shearwater,http://app.bto.org/birdfacts/results/bob460.htm,Puffinus puffinus,Migrant Breeder,100000 - 500000 Pairs,MX,MANSH,223606.79774997893
Yelkouan Shearwater,http://app.bto.org/birdfacts/results/bob462.htm,Puffinus yelkouan,Accidental,1-10 Records,,,3.1622776601683795
Balearic Shearwater,http://app.bto.org/birdfacts/results/bob463.htm,Puffinus mauretanicus,Passage Visitor,1000 - 10000 Birds,YQ,BALSH,3162.2776601683804
Barolo Shearwater,http://app.bto.org/birdfacts/results/bob482.htm,Puffinus baroli,Accidental,10 - 100 Records,MV,LITSH,31.622776601683803
Black Stork,http://app.bto.org/birdfacts/results/bob1310.htm,Ciconia nigra,Accidental,100-500 Records,OS,BLAST,223.606797749979
White Stork,http://app.bto.org/birdfacts/results/bob1340.htm,Ciconia ciconia,"Former Breeder, Scarce Visitor",10 - 100 Birds,OR,WHIST,31.622776601683803
Magnificent Frigatebird,http://app.bto.org/birdfacts/results/bob930.htm,Fregata magnificens,Accidental,1-10 Records,,,3.1622776601683795
Gannet,http://app.bto.org/birdfacts/results/bob710.htm,Morus bassanus,"Migrant/Resident Breeder, Passage Visitor",100000 - 500000 Nests,GX,GANNE,223606.79774997893
Red-footed Booby,http://app.bto.org/birdfacts/results/bob670.htm,Sula sula,Accidental,1-10 Records,,,3.1622776601683795
Double-crested Cormorant,http://app.bto.org/birdfacts/results/bob780.htm,Phalacrocorax auritus,Accidental,1-10 Records,,,3.1622776601683795
Shag,http://app.bto.org/birdfacts/results/bob800.htm,Phalacrocorax aristotelis,Resident Breeder,10000 - 100000 Pairs,SA,SHAG.,31622.77660168378
Cormorant,http://app.bto.org/birdfacts/results/bob720.htm,Phalacrocorax carbo,"Migrant/Resident Breeder, Passage/Winter Visitor",1000 - 10000 Pairs,CA,CORMO,3162.2776601683804
Glossy Ibis,http://app.bto.org/birdfacts/results/bob1360.htm,Plegadis falcinellus,Scarce Visitor,10 - 100 Birds,IB,GLOIB,31.622776601683803
Spoonbill,http://app.bto.org/birdfacts/results/bob1440.htm,Platalea leucorodia,"Former, but now Scarce, Breeder, Scarce Visitor",10 - 100 Birds,NB,SPOON,31.622776601683803
Bittern,http://app.bto.org/birdfacts/results/bob950.htm,Botaurus stellaris,"Resident Breeder, Winter Visitor",10 - 100 Males,BI,BITTE,31.622776601683803
American Bittern,http://app.bto.org/birdfacts/results/bob960.htm,Botaurus lentiginosus,Accidental,1-10 Records,AM,AMEBI,3.1622776601683795
Little Bittern,http://app.bto.org/birdfacts/results/bob980.htm,Ixobrychus minutus,"Accidental, Has Bred",100-500 Records,LL,LITBI,223.606797749979
Night Heron,http://app.bto.org/birdfacts/results/bob1040.htm,Nycticorax nycticorax,"Escaped Breeder, Scarce Visitor",10 - 100 Birds,NT,NIGHE,31.622776601683803
Green Heron,http://app.bto.org/birdfacts/results/bob1070.htm,Butorides virescens,Accidental,1-10 Records,HR,GRBHE,3.1622776601683795
Squacco Heron,http://app.bto.org/birdfacts/results/bob1080.htm,Ardeola ralloides,Accidental,10 - 100 Records,QH,SQUHE,31.622776601683803
Chinese Pond Heron,http://app.bto.org/birdfacts/results/bob1100.htm,Ardeola bacchus,Accidental,1-10 Records,,,3.1622776601683795
Cattle Egret,http://app.bto.org/birdfacts/results/bob1110.htm,Bubulcus ibis,"Scarce Visitor, Has Bred",10 - 100 Birds,EC,CATEG,31.622776601683803
Grey Heron,http://app.bto.org/birdfacts/results/bob1220.htm,Ardea cinerea,"Resident Breeder, Winter Visitor",10000 - 100000 Pairs,H.,GREHE,31622.77660168378
Great Blue Heron,http://app.bto.org/birdfacts/results/bob1230.htm,Ardea herodias,Accidental,1-10 Records,,,3.1622776601683795
Purple Heron,http://app.bto.org/birdfacts/results/bob1240.htm,Ardea purpurea,"Scarce Visitor, Has Bred",10 - 100 Birds,UR,PURHE,31.622776601683803
Great White Egret,http://app.bto.org/birdfacts/results/bob1210.htm,Ardea alba,"Scarce Visitor, Has Bred",10 - 100 Birds,HW,GRWEG,31.622776601683803
Snowy Egret,http://app.bto.org/birdfacts/results/bob1150.htm,Egretta thula,Accidental,1-10 Records,NY,,3.1622776601683795
Little Egret,http://app.bto.org/birdfacts/results/bob1190.htm,Egretta garzetta,"Resident Breeder, Passage Visitor",500 - 1000 Pairs,ET,LITEG,707.1067811865473
Dalmatian Pelican,http://app.bto.org/birdfacts/results/bob890.htm,Pelecanus crispus,Accidental,1-10 Records,,,3.1622776601683795
Osprey,http://app.bto.org/birdfacts/results/bob3010.htm,Pandion haliaetus,"Migrant Breeder, Passage Visitor",100-500 Pairs,OP,OSPRE,223.606797749979
Egyptian Vulture,http://app.bto.org/birdfacts/results/bob2470.htm,Neophron percnopterus,Not Recorded since 1868, ,,EGYVU,
Honey-buzzard,http://app.bto.org/birdfacts/results/bob2310.htm,Pernis apivorus,"Migrant Breeder, Passage Visitor",100-500 Pairs,HZ,HONBU,223.606797749979
Short-toed Eagle,http://app.bto.org/birdfacts/results/bob2560.htm,Circaetus gallicus,Accidental,1-10 Records,,SHTEA,3.1622776601683795
Spotted Eagle,http://app.bto.org/birdfacts/results/bob2930.htm,Clanga clanga,Not Recorded since 1915, ,,SPOEA,
Golden Eagle,http://app.bto.org/birdfacts/results/bob2960.htm,Aquila chrysaetos,Resident Breeder,100-500 Pairs,EA,GOLEA,223.606797749979
Sparrowhawk,http://app.bto.org/birdfacts/results/bob2690.htm,Accipiter nisus,"Resident Breeder, Passage/Winter Visitor",10000 - 100000 Pairs,SH,SPARR,31622.77660168378
Goshawk,http://app.bto.org/birdfacts/results/bob2670.htm,Accipiter gentilis,Re-introduced Breeder,100-500 Pairs,GI,GOSHA,223.606797749979
