date,from,to,id_from,name_from,city_from,country_from,iata_from,icao_from,lat_from,lng_from,id_to,name_to,city_to,country_to,iata_to,icao_to,lat_to,lng_to,distance
2017-07-16,Oslo Lufthavn,London Gatwick Airport,644,Oslo Lufthavn,Oslo,Norway,OSL,ENGM,60.121,11.0502,502,London Gatwick Airport,London,United Kingdom,LGW,EGKK,51.148102,-0.190278,757.1070204969
2017-07-16,"Harstad/Narvik Airport, Evenes",Oslo Lufthavn,641,"Harstad/Narvik Airport, Evenes",Harstad/Narvik,Norway,EVE,ENEV,68.4913024902,16.6781005859,644,Oslo Lufthavn,Oslo,Norway,OSL,ENGM,60.121,11.0502,601.8019229649
2017-07-10,Bergen Airport Flesland,"Harstad/Narvik Airport, Evenes",636,Bergen Airport Flesland,Bergen,Norway,BGO,ENBR,60.29339981,5.218140125,641,"Harstad/Narvik Airport, Evenes",Harstad/Narvik,Norway,EVE,ENEV,68.4913024902,16.6781005859,659.4116701716
2017-07-04,London Gatwick Airport,Bergen Airport Flesland,502,London Gatwick Airport,London,United Kingdom,LGW,EGKK,51.148102,-0.190278,636,Bergen Airport Flesland,Bergen,Norway,BGO,ENBR,60.29339981,5.218140125,665.4648336376
2018-06-30,Dubrovnik Airport,London Gatwick Airport,1200,Dubrovnik Airport,Dubrovnik,Croatia,DBV,LDDU,42.5614013672,18.2681999207,502,London Gatwick Airport,London,United Kingdom,LGW,EGKK,51.148102,-0.190278,1050.160495852
2018-06-16,London Gatwick Airport,Dubrovnik Airport,502,London Gatwick Airport,London,United Kingdom,LGW,EGKK,51.148102,-0.190278,1200,Dubrovnik Airport,Dubrovnik,Croatia,DBV,LDDU,42.5614013672,18.2681999207,1050.160495852
2017-11-13,Sir Seewoosagur Ramgoolam International Airport,London Heathrow Airport,893,Sir Seewoosagur Ramgoolam International Airport,Plaisance,Mauritius,MRU,FIMP,-20.430201,57.683601,507,London Heathrow Airport,London,United Kingdom,LHR,EGLL,51.4706,-0.461941,6079.8015441509
2017-11-04,London Heathrow Airport,Sir Seewoosagur Ramgoolam International Airport,507,London Heathrow Airport,London,United Kingdom,LHR,EGLL,51.4706,-0.461941,893,Sir Seewoosagur Ramgoolam International Airport,Plaisance,Mauritius,MRU,FIMP,-20.430201,57.683601,6079.8015441509
2019-04-28,Menorca Airport,London Gatwick Airport,1231,Menorca Airport,Menorca,Spain,MAH,LEMH,39.8625984192,4.2186498642,502,London Gatwick Airport,London,United Kingdom,LGW,EGKK,51.148102,-0.190278,808.069585069
2019-04-20,London Gatwick Airport,Menorca Airport,502,London Gatwick Airport,London,United Kingdom,LGW,EGKK,51.148102,-0.190278,1231,Menorca Airport,Menorca,Spain,MAH,LEMH,39.8625984192,4.2186498642,808.069585069
2017-03-11,Grenoble-Isère Airport,London Gatwick Airport,1340,Grenoble-Isère Airport,Grenoble,France,GNB,LFLS,45.3628997803,5.3293700218,502,London Gatwick Airport,London,United Kingdom,LGW,EGKK,51.148102,-0.190278,473.2458085631
2017-03-04,London Gatwick Airport,Grenoble-Isère Airport,502,London Gatwick Airport,London,United Kingdom,LGW,EGKK,51.148102,-0.190278,1340,Grenoble-Isère Airport,Grenoble,France,GNB,LFLS,45.3628997803,5.3293700218,473.2458085631
2016-09-25,Kuala Lumpur International Airport,London Heathrow Airport,3304,Kuala Lumpur International Airport,Kuala Lumpur,Malaysia,KUL,WMKK,2.745579958,101.7099990845,507,London Heathrow Airport,London,United Kingdom,LHR,EGLL,51.4706,-0.461941,6589.9419203426
2016-09-25,Kuching International Airport,Kuala Lumpur International Airport,3263,Kuching International Airport,Kuching,Malaysia,KCH,WBGG,1.4846999645,110.3470001221,3304,Kuala Lumpur International Airport,Kuala Lumpur,Malaysia,KUL,WMKK,2.745579958,101.7099990845,602.6693854547
2016-09-22,Mulu Airport,Kuching International Airport,4056,Mulu Airport,Mulu,Malaysia,MZV,WBMU,4.0483298302,114.8050003052,3263,Kuching International Airport,Kuching,Malaysia,KCH,WBGG,1.4846999645,110.3470001221,354.983011494
2016-09-20,Kota Kinabalu International Airport,Mulu Airport,3269,Kota Kinabalu International Airport,Kota Kinabalu,Malaysia,BKI,WBKK,5.937210083,116.0510025024,4056,Mulu Airport,Mulu,Malaysia,MZV,WBMU,4.0483298302,114.8050003052,156.1644336142
2016-09-05,Kuala Lumpur International Airport,Kota Kinabalu International Airport,3304,Kuala Lumpur International Airport,Kuala Lumpur,Malaysia,KUL,WMKK,2.745579958,101.7099990845,3269,Kota Kinabalu International Airport,Kota Kinabalu,Malaysia,BKI,WBKK,5.937210083,116.0510025024,1012.192933743
2016-09-05,London Heathrow Airport,Kuala Lumpur International Airport,507,London Heathrow Airport,London,United Kingdom,LHR,EGLL,51.4706,-0.461941,3304,Kuala Lumpur International Airport,Kuala Lumpur,Malaysia,KUL,WMKK,2.745579958,101.7099990845,6589.9419203426
2017-09-17,Lahad Datu Airport,Kota Kinabalu International Airport,3268,Lahad Datu Airport,Lahad Datu,Malaysia,LDU,WBKD,5.0322499275,118.3239974976,3269,Kota Kinabalu International Airport,Kota Kinabalu,Malaysia,BKI,WBKK,5.937210083,116.0510025024,168.3686884149
2016-09-09,Kota Kinabalu International Airport,Sandakan Airport,3269,Kota Kinabalu International Airport,Kota Kinabalu,Malaysia,BKI,WBKK,5.937210083,116.0510025024,4141,Sandakan Airport,Sandakan,Malaysia,SDK,WBKS,5.9008998871,118.0589981079,138.0220968562
2016-02-20,Southend Airport,Geneva Cointrin International Airport,508,Southend Airport,Southend,United Kingdom,SEN,EGMC,51.5713996887,0.695555985,1665,Geneva Cointrin International Airport,Geneva,Switzerland,GVA,LSGG,46.2380981445,6.1089501381,442.7095927748
2016-02-27,Geneva Cointrin International Airport,Southend Airport,1665,Geneva Cointrin International Airport,Geneva,Switzerland,GVA,LSGG,46.2380981445,6.1089501381,508,Southend Airport,Southend,United Kingdom,SEN,EGMC,51.5713996887,0.695555985,442.7095927748
2016-01-09,Charlotte Douglas International Airport,London Heathrow Airport,3876,Charlotte Douglas International Airport,Charlotte,United States,CLT,KCLT,35.2140007019,-80.9430999756,507,London Heathrow Airport,London,United Kingdom,LHR,EGLL,51.4706,-0.461941,3982.4567684629
2015-12-16,Philadelphia International Airport,Cancún International Airport,3752,Philadelphia International Airport,Philadelphia,United States,PHL,KPHL,39.8718986511,-75.2410964966,1852,Cancún International Airport,Cancun,Mexico,CUN,MMUN,21.0365009308,-86.8770980835,1471.2810539163
2015-12-16,London Heathrow Airport,Philadelphia International Airport,507,London Heathrow Airport,London,United Kingdom,LHR,EGLL,51.4706,-0.461941,3752,Philadelphia International Airport,Philadelphia,United States,PHL,KPHL,39.8718986511,-75.2410964966,3535.4707455074
2016-01-09,Cancún International Airport,Charlotte Douglas International Airport,1852,Cancún International Airport,Cancun,Mexico,CUN,MMUN,21.0365009308,-86.8770980835,3876,Charlotte Douglas International Airport,Charlotte,United States,CLT,KCLT,35.2140007019,-80.9430999756,1043.5678951388
2015-10-15,London Gatwick Airport,Keflavik International Airport,502,London Gatwick Airport,London,United Kingdom,LGW,EGKK,51.148102,-0.190278,16,Keflavik International Airport,Keflavik,Iceland,KEF,BIKF,63.9850006104,-22.6056003571,1202.5206956967
2015-10-25,Keflavik International Airport,London Gatwick Airport,16,Keflavik International Airport,Keflavik,Iceland,KEF,BIKF,63.9850006104,-22.6056003571,502,London Gatwick Airport,London,United Kingdom,LGW,EGKK,51.148102,-0.190278,1202.5206956967
2015-08-29,Geneva Cointrin International Airport,London City Airport,1665,Geneva Cointrin International Airport,Geneva,Switzerland,GVA,LSGG,46.2380981445,6.1089501381,503,London City Airport,London,United Kingdom,LCY,EGLC,51.505299,0.055278,455.8825393337
2015-08-22,London City Airport,Geneva Cointrin International Airport,503,London City Airport,London,United Kingdom,LCY,EGLC,51.505299,0.055278,1665,Geneva Cointrin International Airport,Geneva,Switzerland,GVA,LSGG,46.2380981445,6.1089501381,455.8825393337
2015-01-11,Queenstown International Airport,Melbourne International Airport,2030,Queenstown International Airport,Queenstown International,New Zealand,ZQN,NZQN,-45.0210990906,168.738998413,3339,Melbourne International Airport,Melbourne,Australia,MEL,YMML,-37.673302,144.843002,1333.1386019907
2014-12-30,Brisbane International Airport,Auckland International Airport,3320,Brisbane International Airport,Brisbane,Australia,BNE,YBBN,-27.3841991425,153.1170043945,2006,Auckland International Airport,Auckland,New Zealand,AKL,NZAA,-37.0080986023,174.792007446,1426.3406998524
2014-12-12,Melbourne International Airport,Cairns International Airport,3339,Melbourne International Airport,Melbourne,Australia,MEL,YMML,-37.673302,144.843002,3322,Cairns International Airport,Cairns,Australia,CNS,YBCS,-16.885799408,145.755004883,1437.3470478622
2015-01-13,Melbourne International Airport,Brunei International Airport,3339,Melbourne International Airport,Melbourne,Australia,MEL,YMML,-37.673302,144.843002,3272,Brunei International Airport,Bandar Seri Begawan,Brunei,BWN,WBSB,4.9442000389,114.9280014038,3516.0777151576
2014-12-10,Brunei International Airport,Melbourne International Airport,3272,Brunei International Airport,Bandar Seri Begawan,Brunei,BWN,WBSB,4.9442000389,114.9280014038,3339,Melbourne International Airport,Melbourne,Australia,MEL,YMML,-37.673302,144.843002,3516.0777151576
2015-01-13,Dubai International Airport,London Heathrow Airport,2188,Dubai International Airport,Dubai,United Arab Emirates,DXB,OMDB,25.2527999878,55.3643989563,507,London Heathrow Airport,London,United Kingdom,LHR,EGLL,51.4706,-0.461941,3416.2515371012
2015-01-13,Brunei International Airport,Dubai International Airport,3272,Brunei International Airport,Bandar Seri Begawan,Brunei,BWN,WBSB,4.9442000389,114.9280014038,2188,Dubai International Airport,Dubai,United Arab Emirates,DXB,OMDB,25.2527999878,55.3643989563,4176.4630272575
2014-12-10,Dubai International Airport,Brunei International Airport,2188,Dubai International Airport,Dubai,United Arab Emirates,DXB,OMDB,25.2527999878,55.3643989563,3272,Brunei International Airport,Bandar Seri Begawan,Brunei,BWN,WBSB,4.9442000389,114.9280014038,4176.4630272575
2014-12-10,London Heathrow Airport,Dubai International Airport,507,London Heathrow Airport,London,United Kingdom,LHR,EGLL,51.4706,-0.461941,2188,Dubai International Airport,Dubai,United Arab Emirates,DXB,OMDB,25.2527999878,55.3643989563,3416.2515371012
2013-10-12,Heraklion International Nikos Kazantzakis Airport,London Gatwick Airport,1452,Heraklion International Nikos Kazantzakis Airport,Heraklion,Greece,HER,LGIR,35.3396987915,25.1802997589,502,London Gatwick Airport,London,United Kingdom,LGW,EGKK,51.148102,-0.190278,1665.2328990522
2013-09-28,London Gatwick Airport,Heraklion International Nikos Kazantzakis Airport,502,London Gatwick Airport,London,United Kingdom,LGW,EGKK,51.148102,-0.190278,1452,Heraklion International Nikos Kazantzakis Airport,Heraklion,Greece,HER,LGIR,35.3396987915,25.1802997589,1665.2328990522
2013-06-15,Reno Tahoe International Airport,Los Angeles International Airport,3807,Reno Tahoe International Airport,Reno,United States,RNO,KRNO,39.4990997314,-119.7679977417,3484,Los Angeles International Airport,Los Angeles,United States,LAX,KLAX,33.94250107,-118.4079971,391.2270206894
2013-06-15,Los Angeles International Airport,London Heathrow Airport,3484,Los Angeles International Airport,Los Angeles,United States,LAX,KLAX,33.94250107,-118.4079971,507,London Heathrow Airport,London,United Kingdom,LHR,EGLL,51.4706,-0.461941,5442.9959849063
2013-06-01,London Heathrow Airport,Chicago O'Hare International Airport,507,London Heathrow Airport,London,United Kingdom,LHR,EGLL,51.4706,-0.461941,3830,Chicago O'Hare International Airport,Chicago,United States,ORD,KORD,41.9786,-87.9048,3941.8226805205
2013-06-01,Chicago O'Hare International Airport,Reno Tahoe International Airport,3830,Chicago O'Hare International Airport,Chicago,United States,ORD,KORD,41.9786,-87.9048,3807,Reno Tahoe International Airport,Reno,United States,RNO,KRNO,39.4990997314,-119.7679977417,1667.1837215898
2013-03-02,Geneva Cointrin International Airport,London Gatwick Airport,1665,Geneva Cointrin International Airport,Geneva,Switzerland,GVA,LSGG,46.2380981445,6.1089501381,502,London Gatwick Airport,London,United Kingdom,LGW,EGKK,51.148102,-0.190278,444.2229605147
2013-02-23,London Gatwick Airport,Geneva Cointrin International Airport,502,London Gatwick Airport,London,United Kingdom,LGW,EGKK,51.148102,-0.190278,1665,Geneva Cointrin International Airport,Geneva,Switzerland,GVA,LSGG,46.2380981445,6.1089501381,444.2229605147
2012-09-22,John F Kennedy International Airport,London Heathrow Airport,3797,John F Kennedy International Airport,New York,United States,JFK,KJFK,40.63980103,-73.77890015,507,London Heathrow Airport,London,United Kingdom,LHR,EGLL,51.4706,-0.461941,3442.1741725546
2012-09-22,San Francisco International Airport,John F Kennedy International Airport,3469,San Francisco International Airport,San Francisco,United States,SFO,KSFO,37.6189994812,-122.375,3797,John F Kennedy International Airport,New York,United States,JFK,KJFK,40.63980103,-73.77890015,2579.7995813586
2012-09-01,Hartsfield Jackson Atlanta International Airport,Jackson Hole Airport,3682,Hartsfield Jackson Atlanta International Airport,Atlanta,United States,ATL,KATL,33.6367,-84.428101,4027,Jackson Hole Airport,Jacksn Hole,United States,JAC,KJAC,43.6072998047,-110.7379989624,1569.3458561115
2012-09-01,London Heathrow Airport,Hartsfield Jackson Atlanta International Airport,507,London Heathrow Airport,London,United Kingdom,LHR,EGLL,51.4706,-0.461941,3682,Hartsfield Jackson Atlanta International Airport,Atlanta,United States,ATL,KATL,33.6367,-84.428101,4200.9425875431
2012-04-01,Geneva Cointrin International Airport,London Gatwick Airport,1665,Geneva Cointrin International Airport,Geneva,Switzerland,GVA,LSGG,46.2380981445,6.1089501381,502,London Gatwick Airport,London,United Kingdom,LGW,EGKK,51.148102,-0.190278,444.2229605147
2012-03-25,London Gatwick Airport,Geneva Cointrin International Airport,502,London Gatwick Airport,London,United Kingdom,LGW,EGKK,51.148102,-0.190278,1665,Geneva Cointrin International Airport,Geneva,Switzerland,GVA,LSGG,46.2380981445,6.1089501381,444.2229605147
2012-03-12,Geneva Cointrin International Airport,London Gatwick Airport,1665,Geneva Cointrin International Airport,Geneva,Switzerland,GVA,LSGG,46.2380981445,6.1089501381,502,London Gatwick Airport,London,United Kingdom,LGW,EGKK,51.148102,-0.190278,444.2229605147
2012-03-03,London Gatwick Airport,Geneva Cointrin International Airport,502,London Gatwick Airport,London,United Kingdom,LGW,EGKK,51.148102,-0.190278,1665,Geneva Cointrin International Airport,Geneva,Switzerland,GVA,LSGG,46.2380981445,6.1089501381,444.2229605147
2011-11-12,Sir Grantley Adams International Airport,London Gatwick Airport,2875,Sir Grantley Adams International Airport,Bridgetown,Barbados,BGI,TBPB,13.0746002197,-59.4925003052,502,London Gatwick Airport,London,United Kingdom,LGW,EGKK,51.148102,-0.190278,4199.6989049162
2011-11-02,London Gatwick Airport,Sir Grantley Adams International Airport,502,London Gatwick Airport,London,United Kingdom,LGW,EGKK,51.148102,-0.190278,2875,Sir Grantley Adams International Airport,Bridgetown,Barbados,BGI,TBPB,13.0746002197,-59.4925003052,4199.6989049162
2010-08-12,London Gatwick Airport,Palma De Mallorca Airport,502,London Gatwick Airport,London,United Kingdom,LGW,EGKK,51.148102,-0.190278,3998,Palma De Mallorca Airport,Palma de Mallorca,Spain,PMI,LEPA,39.551700592,2.7388100624,813.5845675903
2010-08-21,Palma De Mallorca Airport,London Gatwick Airport,3998,Palma De Mallorca Airport,Palma de Mallorca,Spain,PMI,LEPA,39.551700592,2.7388100624,502,London Gatwick Airport,London,United Kingdom,LGW,EGKK,51.148102,-0.190278,813.5845675903
2011-03-19,Geneva Cointrin International Airport,London Gatwick Airport,1665,Geneva Cointrin International Airport,Geneva,Switzerland,GVA,LSGG,46.2380981445,6.1089501381,502,London Gatwick Airport,London,United Kingdom,LGW,EGKK,51.148102,-0.190278,444.2229605147
2011-03-12,London Gatwick Airport,Geneva Cointrin International Airport,502,London Gatwick Airport,London,United Kingdom,LGW,EGKK,51.148102,-0.190278,1665,Geneva Cointrin International Airport,Geneva,Switzerland,GVA,LSGG,46.2380981445,6.1089501381,444.2229605147
2011-02-08,Geneva Cointrin International Airport,London Gatwick Airport,1665,Geneva Cointrin International Airport,Geneva,Switzerland,GVA,LSGG,46.2380981445,6.1089501381,502,London Gatwick Airport,London,United Kingdom,LGW,EGKK,51.148102,-0.190278,444.2229605147
2011-02-01,London Gatwick Airport,Geneva Cointrin International Airport,502,London Gatwick Airport,London,United Kingdom,LGW,EGKK,51.148102,-0.190278,1665,Geneva Cointrin International Airport,Geneva,Switzerland,GVA,LSGG,46.2380981445,6.1089501381,444.2229605147
2010-02-27,Geneva Cointrin International Airport,London Gatwick Airport,1665,Geneva Cointrin International Airport,Geneva,Switzerland,GVA,LSGG,46.2380981445,6.1089501381,502,London Gatwick Airport,London,United Kingdom,LGW,EGKK,51.148102,-0.190278,444.2229605147
2010-02-20,London Gatwick Airport,Geneva Cointrin International Airport,502,London Gatwick Airport,London,United Kingdom,LGW,EGKK,51.148102,-0.190278,1665,Geneva Cointrin International Airport,Geneva,Switzerland,GVA,LSGG,46.2380981445,6.1089501381,444.2229605147
2009-11-21,José Martí International Airport,London Gatwick Airport,1909,José Martí International Airport,Havana,Cuba,HAV,MUHA,22.989200592,-82.4091033936,502,London Gatwick Airport,London,United Kingdom,LGW,EGKK,51.148102,-0.190278,4665.2665953859
2009-10-11,London Gatwick Airport,José Martí International Airport,502,London Gatwick Airport,London,United Kingdom,LGW,EGKK,51.148102,-0.190278,1909,José Martí International Airport,Havana,Cuba,HAV,MUHA,22.989200592,-82.4091033936,4665.2665953859
